id,kind,expected,observed,passed
candidate-boolean:base,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-boolean:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-boolean:migration,SEMANTIC_MIGRATION,NOT_APPLICABLE,NOT_APPLICABLE,True
candidate-empty-name:base,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-empty-name:candidate,SCHEMA_ACCEPTANCE,VALID,VALID,True
candidate-empty-name:migration,SEMANTIC_MIGRATION,UNVERIFIABLE,UNVERIFIABLE,True
candidate-nested-object:base,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-nested-object:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-nested-object:migration,SEMANTIC_MIGRATION,NOT_APPLICABLE,NOT_APPLICABLE,True
candidate-null-unset:base,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-null-unset:candidate,SCHEMA_ACCEPTANCE,VALID,VALID,True
candidate-null-unset:migration,SEMANTIC_MIGRATION,UNVERIFIABLE,UNVERIFIABLE,True
candidate-number:base,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-number:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-number:migration,SEMANTIC_MIGRATION,NOT_APPLICABLE,NOT_APPLICABLE,True
candidate-string-map:base,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
candidate-string-map:candidate,SCHEMA_ACCEPTANCE,VALID,VALID,True
candidate-string-map:migration,SEMANTIC_MIGRATION,EQUIVALENT_NORMALIZATION,EQUIVALENT_NORMALIZATION,True
legacy-conflicting-name:base,SCHEMA_ACCEPTANCE,VALID,VALID,True
legacy-conflicting-name:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
legacy-conflicting-name:migration,SEMANTIC_MIGRATION,UNVERIFIABLE,UNVERIFIABLE,True
legacy-empty-name:base,SCHEMA_ACCEPTANCE,VALID,VALID,True
legacy-empty-name:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
legacy-empty-name:migration,SEMANTIC_MIGRATION,UNVERIFIABLE,UNVERIFIABLE,True
legacy-plain-flag:base,SCHEMA_ACCEPTANCE,VALID,VALID,True
legacy-plain-flag:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
legacy-plain-flag:migration,SEMANTIC_MIGRATION,EQUIVALENT_NORMALIZATION,EQUIVALENT_NORMALIZATION,True
legacy-posix-assignment:base,SCHEMA_ACCEPTANCE,VALID,VALID,True
legacy-posix-assignment:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
legacy-posix-assignment:migration,SEMANTIC_MIGRATION,UNVERIFIABLE,UNVERIFIABLE,True
legacy-powershell-assignment:base,SCHEMA_ACCEPTANCE,VALID,VALID,True
legacy-powershell-assignment:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
legacy-powershell-assignment:migration,SEMANTIC_MIGRATION,UNVERIFIABLE,UNVERIFIABLE,True
legacy-unique-pairs:base,SCHEMA_ACCEPTANCE,VALID,VALID,True
legacy-unique-pairs:candidate,SCHEMA_ACCEPTANCE,INVALID,INVALID,True
legacy-unique-pairs:migration,SEMANTIC_MIGRATION,EQUIVALENT_NORMALIZATION,EQUIVALENT_NORMALIZATION,True
